ElasticNet	RandomForest	XGBoost
0.48220915841584155	0.3705909653465347	0.4709158415841584
0.5120668316831682	0.46774443069306926	0.5173267326732673
0.5020111386138614	0.582611386138614	0.530940594059406
0.43626237623762376	0.4901763613861386	0.4959777227722772
0.47261757425742573	0.5006188118811882	0.4823638613861386
0.5504331683168316	0.5055693069306931	0.43920173267326734
0.4891707920792079	0.5250618811881189	0.5496596534653465
0.4975247524752475	0.4829826732673267	0.4797339108910891
0.5346534653465347	0.5134591584158416	0.5230507425742574
0.578434405940594	0.4667388613861386	0.4784962871287129
0.4515779702970297	0.5143100247524752	0.4658106435643564
0.5210396039603961	0.44825185643564364	0.4506497524752475
0.5482673267326733	0.5622679455445544	0.551825495049505
0.46642945544554454	0.48940284653465355	0.5134591584158416
0.5143873762376238	0.447555693069307	0.4873143564356435
0.4033106435643564	0.570621905940594	0.5544554455445545
0.5160891089108911	0.5280785891089108	0.5439356435643564
0.5015470297029703	0.5164758663366337	0.4890160891089109
0.5321782178217822	0.5117574257425743	0.4826732673267326
0.5035581683168318	0.5236695544554455	0.5340346534653466
0.4865408415841584	0.44608601485148514	0.47045173267326734
0.551361386138614	0.4932704207920792	0.504486386138614
0.49272896039603964	0.45784344059405935	0.5040222772277229
0.5100556930693069	0.5036355198019802	0.4836014851485149
0.48313737623762376	0.4770266089108911	0.48452970297029707
0.4890160891089109	0.531404702970297	0.49365717821782173
0.48530321782178215	0.4772586633663366	0.4989170792079208
0.4659653465346535	0.429378094059406	0.44755569306930687
0.5380569306930693	0.5157023514851485	0.4942759900990099
0.46441831683168316	0.4470915841584158	0.4424504950495049
0.5176361386138613	0.3917852722772277	0.494430693069307
0.4494121287128713	0.5008508663366337	0.4927289603960396
0.5228960396039604	0.4705290841584159	0.5238242574257426
0.5502784653465347	0.5494275990099011	0.5061881188118812
0.4142945544554455	0.47346844059405946	0.4314665841584159
0.43920173267326734	0.4003712871287129	0.43610767326732675
0.5024752475247525	0.44361076732673266	0.4447710396039604
0.5218131188118812	0.5201887376237624	0.5377475247524752
0.5434715346534653	0.5646658415841584	0.5396039603960396
0.5451732673267327	0.4942759900990099	0.5666769801980197
0.47323638613861385	0.547184405940594	0.5634282178217821
0.4359529702970297	0.4665068069306931	0.4180074257425742
0.489944306930693	0.5094368811881188	0.531404702970297
0.4938118811881188	0.4299969059405941	0.46240717821782185
0.4438428217821782	0.5480352722772277	0.5527537128712873
0.5018564356435643	0.5216584158415842	0.5222772277227722
0.5064975247524753	0.47261757425742573	0.4825185643564357
0.48035272277227725	0.5380569306930694	0.4752475247524753
0.5027846534653465	0.4938118811881188	0.4752475247524752
0.4904084158415841	0.539526608910891	0.5207301980198019
0.4057858910891089	0.49992264851485146	0.49241955445544555
0.583384900990099	0.4772586633663366	0.4780321782178218
0.5759591584158417	0.5226639851485148	0.5176361386138614
0.49504950495049505	0.5562345297029703	0.47957920792079206
0.5125309405940595	0.5321008663366337	0.551825495049505
0.49551361386138615	0.5351949257425743	0.5222772277227723
0.4863861386138614	0.49721534653465355	0.525990099009901
0.4837561881188119	0.5703898514851485	0.5824566831683168
0.4935024752475247	0.5418471534653466	0.557549504950495
0.5461014851485149	0.5382116336633664	0.4888613861386139
0.4981435643564357	0.494740099009901	0.49551361386138615
0.45049504950495045	0.5023205445544554	0.5196472772277229
0.5756497524752474	0.5382116336633663	0.5478032178217822
0.5512066831683169	0.5514387376237623	0.5112933168316833
0.4450804455445545	0.5083539603960396	0.48344678217821785
0.45683787128712866	0.46024133663366334	0.47045173267326734
0.5269183168316831	0.4790377475247525	0.4183168316831683
0.4822091584158416	0.4712252475247525	0.4224938118811882
0.5338799504950494	0.49265160891089105	0.46782178217821785
0.39340965346534656	0.40516707920792083	0.47199876237623767
0.4905631188118812	0.5240563118811881	0.5134591584158417
0.536664603960396	0.5402227722772277	0.48251856435643564
0.4990717821782178	0.46070544554455445	0.48004331683168316
0.47029702970297027	0.4767945544554456	0.5193378712871287
0.4918007425742574	0.5348855198019802	0.5176361386138615
0.5371287128712872	0.5021658415841583	0.5010829207920791
0.5580136138613861	0.4795792079207921	0.43301361386138615
0.6008663366336633	0.5332611386138614	0.5377475247524752
0.5017017326732673	0.4825185643564357	0.48886138613861385
0.525680693069307	0.5590965346534654	0.5962252475247525
0.5126856435643564	0.4474783415841584	0.43301361386138615
0.5949876237623762	0.46960086633663367	0.5006188118811881
0.5170173267326732	0.47942450495049505	0.49628712871287134
0.6277846534653465	0.5672184405940593	0.5997834158415841
0.48406559405940597	0.4955136138613861	0.4655012376237624
0.4758663366336634	0.48607673267326734	0.5242883663366338
0.4645730198019802	0.5022431930693069	0.46349009900990096
0.44275990099009904	0.5272277227722773	0.5181002475247525
0.47694925742574257	0.48723700495049505	0.4882425742574257
0.5473391089108911	0.49783415841584155	0.4905631188118812
0.5007735148514851	0.43254950495049505	0.3932549504950495
0.4627165841584159	0.39557549504950495	0.40238242574257427
0.48468440594059403	0.45335705445544555	0.45761138613861385
0.5259900990099009	0.45026299504950495	0.48917079207920794
0.49922648514851486	0.505259900990099	0.5112933168316832
0.4716893564356436	0.4803527227722772	0.44832920792079206
0.504950495049505	0.4484065594059406	0.4388923267326733
0.6154084158415841	0.4990717821782178	0.5394492574257426
0.44956683168316836	0.4302289603960396	0.45405321782178215
0.5111386138613861	0.49257425742574257	0.5310952970297029
